timestamp_ms,date,avail_usd,cost_per_mib_usd
1764295432148,2025-11-28T02:03:52.148Z,0.007399,0.04238185
1764298851195,2025-11-28T03:00:51.195Z,0.007428,0.04255198
1764302449164,2025-11-28T04:00:49.164Z,0.007461,0.04273668
1764306047814,2025-11-28T05:00:47.814Z,0.007524,0.04309705
1764309648054,2025-11-28T06:00:48.054Z,0.007394,0.04235759
1764313245690,2025-11-28T07:00:45.690Z,0.007369,0.04221207
1764316843161,2025-11-28T08:00:43.161Z,0.007339,0.04203889
1764320449647,2025-11-28T09:00:49.647Z,0.007377,0.04226038
1764324058491,2025-11-28T10:00:58.491Z,0.007401,0.04239637
1764327658529,2025-11-28T11:00:58.529Z,0.007330,0.04198735
1764331248795,2025-11-28T12:00:48.795Z,0.007306,0.04184845
1764334849448,2025-11-28T13:00:49.448Z,0.007421,0.04250868
1764338449329,2025-11-28T14:00:49.329Z,0.007452,0.04269005
1764342111683,2025-11-28T15:01:51.683Z,0.007414,0.04246916
1764345703253,2025-11-28T16:01:43.253Z,0.007441,0.04262629
1764349314807,2025-11-28T17:01:54.807Z,0.007421,0.04250998
1764352950821,2025-11-28T18:02:30.821Z,0.007364,0.04218159
1764356512338,2025-11-28T19:01:52.338Z,0.007410,0.04244557
1764360164296,2025-11-28T20:02:44.296Z,0.007424,0.04252483
1764363712650,2025-11-28T21:01:52.650Z,0.007471,0.04279328
1764367328651,2025-11-28T22:02:08.651Z,0.007484,0.04287093
1764370907968,2025-11-28T23:01:47.968Z,0.007492,0.04291811
1764374502645,2025-11-29T00:01:42.645Z,0.007551,0.04325366
1764378110532,2025-11-29T01:01:50.532Z,0.007524,0.04310136
1764381716762,2025-11-29T02:01:56.762Z,0.007583,0.04343671
1764385288457,2025-11-29T03:01:28.457Z,0.007615,0.04362000
1764388931047,2025-11-29T04:02:11.047Z,0.007613,0.04361002
1764392413676,2025-11-29T05:00:13.676Z,0.007756,0.04442988
1764396014954,2025-11-29T06:00:14.954Z,0.007763,0.04447151
1764399614394,2025-11-29T07:00:14.394Z,0.007783,0.04458533
1764403214345,2025-11-29T08:00:14.345Z,0.007657,0.04385998
1764406815745,2025-11-29T09:00:15.745Z,0.007598,0.04352211
1764410413856,2025-11-29T10:00:13.856Z,0.007603,0.04355365
1764414017620,2025-11-29T11:00:17.620Z,0.007560,0.04330773
1764417619820,2025-11-29T12:00:19.820Z,0.007572,0.04337424
1764421216041,2025-11-29T13:00:16.041Z,0.007577,0.04340285
1764424904390,2025-11-29T14:01:44.390Z,0.007455,0.04270411
1764428514560,2025-11-29T15:01:54.560Z,0.007434,0.04258192
1764432099092,2025-11-29T16:01:39.092Z,0.007426,0.04253827
1764435699943,2025-11-29T17:01:39.943Z,0.007464,0.04275475
1764439313539,2025-11-29T18:01:53.539Z,0.007412,0.04245649
1764442907763,2025-11-29T19:01:47.763Z,0.007371,0.04222539
1764446504270,2025-11-29T20:01:44.270Z,0.007376,0.04224922
1764450109676,2025-11-29T21:01:49.676Z,0.007364,0.04218149
1764453707601,2025-11-29T22:01:47.601Z,0.007367,0.04219936
1764457294632,2025-11-29T23:01:34.632Z,0.007382,0.04228472
1764460884835,2025-11-30T00:01:24.835Z,0.007367,0.04220241
1764464493333,2025-11-30T01:01:33.333Z,0.007417,0.04248697
1764468095964,2025-11-30T02:01:35.964Z,0.007359,0.04215250
1764471710747,2025-11-30T03:01:50.747Z,0.007375,0.04224393
1764475312149,2025-11-30T04:01:52.149Z,0.007347,0.04208799
1764478909096,2025-11-30T05:01:49.096Z,0.007342,0.04205557
1764482509825,2025-11-30T06:01:49.825Z,0.007393,0.04235012
1764486110942,2025-11-30T07:01:50.942Z,0.007432,0.04257431
1764489697912,2025-11-30T08:01:37.912Z,0.007438,0.04260843
1764493309827,2025-11-30T09:01:49.827Z,0.007493,0.04292003
1764496907101,2025-11-30T10:01:47.101Z,0.007473,0.04280990
1764500510658,2025-11-30T11:01:50.658Z,0.007443,0.04263746
1764504131282,2025-11-30T12:02:11.282Z,0.007415,0.04247475
1764507723351,2025-11-30T13:02:03.351Z,0.007424,0.04252816
1764511588429,2025-11-30T14:06:28.429Z,0.007458,0.04271968
1764514940896,2025-11-30T15:02:20.896Z,0.007468,0.04277608
1764518497329,2025-11-30T16:01:37.329Z,0.007480,0.04284951
