_day,sample_count,avg_included,avg_backed,avg_cores_active,avg_distinct_paras,avg_bitfields,total_timed_out,total_disputes,median_block,mean_availability,p10_included,p50_included,p90_included,era,effective_cores,max_pov_bytes,max_pov_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,daily_data_mib,pipeline_efficiency_pct,timed_out_rate_pct,core_engagement_pct,para_diversity_ratio,purchase_count,bulk_p10_price_dot,bulk_p50_price_dot,bulk_p90_price_dot,daily_bulk_spend_dot,bulk_p10_cost_per_mib_dot,bulk_p50_cost_per_mib_dot,bulk_p90_cost_per_mib_dot,renewal_count,renewal_p50_price_dot,daily_renewal_spend_dot,renewal_p50_cost_per_mib_dot,sales_started,sale_cores_offered,sale_start_price_dot,sale_end_price_dot,avg_dot_usd,bulk_p50_price_per_core_dot,renewal_p50_price_per_core_dot,bulk_p10_cost_per_mib_usd,bulk_p50_cost_per_mib_usd,bulk_p90_cost_per_mib_usd,renewal_p50_cost_per_mib_usd,bulk_p50_price_per_core_usd,renewal_p50_price_per_core_usd,daily_bulk_spend_usd,daily_renewal_spend_usd,daily_total_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_data_mib_7d,bulk_p50_cost_per_mib_usd_7d,pipeline_efficiency_pct_7d,core_engagement_pct_7d,actual_mib_per_s_30d,utilization_pct_30d,cumulative_daily_data_mib,cumulative_daily_total_spend_usd
2025-12-06,14264,25.599411104879415,25.59913067863152,25.599411104879415,25.599411104879415,592.6948261357263,0.0,0.0,28950649.5,0.9975985588131403,19.0,26.0,33.0,#1629 (100 cores),100,10485760.0,10.0,42.66568517479902,166.66666666666666,25.599411104879415,3686315.1991026355,100.00109545223006,0.0,25.599411104879415,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,42.73067405804081,25.63840443482449,3691930.2386147263,1.5638003811345437e-05,99.99906256260373,25.63840443482449,43.169588914430726,25.90175334865844,82056754.60854994,1317.2559927194898
2025-12-07,14272,25.51632567264574,25.51667600896861,25.51632567264574,25.51632567264574,592.6615751121076,0.0,0.0,28964917.5,0.9976190395480227,19.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,42.527209454409565,166.66666666666666,25.51632567264574,3674350.896860986,99.99862702993624,0.0,25.51632567264574,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,42.688073951442966,25.61284437086578,3688249.589404672,1.5638003811345437e-05,99.99898354276168,25.61284437086578,43.141659372690675,25.884995623614408,85731105.50541092,1317.2559927194898
2025-12-08,14260,25.51297335203366,25.51241234221599,25.51297335203366,25.51297335203366,592.6651472650772,0.0,0.0,28979183.5,0.9975180501589545,19.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,42.52162225338944,166.66666666666666,25.51297335203366,3673868.1626928477,100.00219896813421,0.0,25.51297335203366,1.0,2.0,10.0,10.0,10.0,20.0,2.48015873015873e-06,2.48015873015873e-06,2.48015873015873e-06,,,,,,,,,2.0862977618916068,10.0,,5.1743496078660884e-06,5.1743496078660884e-06,5.1743496078660884e-06,,20.86297761891607,,41.72595523783214,0.0,41.72595523783214,42.64050535028293,25.584303210169757,3684139.6622644453,1.0406176709605763e-05,99.99999963960889,25.584303210169757,43.11582449271979,25.869494695631875,89404973.66810377,1358.9819479573218
2025-12-09,14258,25.459461355028754,25.459952307476506,25.459461355028754,25.459461355028754,592.3783840650863,0.0,0.0,28993442.5,0.9967534708000848,19.0,26.0,32.0,#1629 (100 cores),100,10485760.0,10.0,42.43243559171459,166.66666666666666,25.459461355028758,3666162.4351241407,99.99807166784201,0.0,25.459461355028758,1.0,2.0,10.0,10.0,10.0,20.0,2.48015873015873e-06,2.48015873015873e-06,2.48015873015873e-06,,,,,,,,,2.1311050824672626,10.0,,5.285478875166822e-06,5.285478875166822e-06,5.285478875166822e-06,,21.311050824672627,,42.622101649345254,0.0,42.622101649345254,42.61320206614439,25.567921239686633,3681780.658514875,8.699277431459449e-06,100.00011612539042,25.567921239686633,43.08848893667959,25.853093362007755,93071136.10322791,1401.604049606667
2025-12-10,14250,25.253403508771928,25.2540350877193,25.253403508771928,25.253403508771928,592.3491228070176,0.0,0.0,29007696.5,0.9969580816297658,19.0,25.0,32.0,#1629 (100 cores),100,10485760.0,10.0,42.08900584795321,166.66666666666666,25.253403508771928,3636490.1052631577,99.99749909689609,0.0,25.253403508771928,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,42.53284131210023,25.519704787260142,3674837.489365461,8.699277431459449e-06,99.9997196157821,25.519704787260142,43.05004727942087,25.830028367652524,96707626.20849107,1401.604049606667
2025-12-11,14249,25.387886869253983,25.388237771071655,25.387886869253983,25.387886869253983,592.1573443750439,0.0,0.0,29021946.0,0.9975651445536157,19.0,25.0,32.0,#1629 (100 cores),100,10485760.0,10.0,42.31314478208997,166.66666666666666,25.387886869253983,3655855.7091725734,99.99861785673808,0.0,25.387886869253983,1.0,1.0,10.0,10.0,10.0,10.0,2.48015873015873e-06,2.48015873015873e-06,2.48015873015873e-06,,,,,,,,,2.197248180928796,10.0,,5.449524258255943e-06,5.449524258255943e-06,5.449524258255943e-06,,21.97248180928796,,21.97248180928796,0.0,21.97248180928796,42.480959906478745,25.48857594388725,3670354.935919763,7.886839138158572e-06,99.99960036514733,25.48857594388725,43.02275459433454,25.813652756600728,100363481.91766365,1423.576531415955
2025-12-12,14264,25.486048794167132,25.485838474481213,25.486048794167132,25.486048794167132,593.7640914189568,0.0,0.0,29036202.5,0.9976228750351815,20.0,25.0,31.0,#1629 (100 cores),100,10485760.0,10.0,42.476747990278554,166.66666666666666,25.486048794167132,3669991.026360067,100.0008252413831,0.0,25.486048794167132,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,42.43226444209062,25.459358665254374,3666147.64779663,5.3031175804296176e-06,99.99956218759425,25.459358665254374,43.00325435847541,25.801952615085245,104033472.94402371,1423.576531415955
2025-12-13,14312,25.327138065958636,25.32678870877585,25.327138065958636,25.327138065958636,597.3273476802683,0.0,0.0,29050490.5,0.9975881828394889,19.0,25.0,32.0,#1629 (100 cores),100,10485760.0,10.0,42.211896776597726,166.66666666666666,25.32713806595864,3647107.8814980434,100.00137939786524,0.0,25.32713806595864,1.0,,,,,,,,,6.0,10.768135000000001,163.5490162094,2.670668402777778e-06,1.0,72.0,1000.0,10.0,2.01368347193496,,10.768135000000001,,,,5.37788082169255e-06,,21.68361547306436,0.0,329.33595079209164,329.33595079209164,42.36743752806186,25.42046251683712,3660546.6024245457,5.3031175804296176e-06,99.99960275125643,25.42046251683712,42.975966165996866,25.78557969959812,107680580.82552175,1752.9124822080466
2025-12-14,14346,24.982294716297226,24.98292206886937,24.982294716297226,24.982294716297226,596.7143454621497,0.0,0.0,29064819.5,0.9976217464198393,19.0,25.0,31.0,#1629 (100 cores),100,10485760.0,10.0,41.63715786049537,166.66666666666666,24.982294716297226,3597450.4391468004,99.99748887431817,0.0,24.982294716297226,1.0,,,,,,,,,5.0,10.3,52.15454,2.554563492063492e-06,,,,,2.039862850957061,,10.3,,,,5.210959167871461e-06,,21.01058736485773,0.0,106.38810865475408,106.38810865475408,42.24028730035984,25.344172380215902,3649560.82275109,5.3031175804296176e-06,99.99944015759671,25.344172380215902,42.93133922248015,25.75880353348809,111278031.26466855,1859.3005908628006
2025-12-15,14345,24.638201463924712,24.637783199721156,24.638201463924712,24.638201463924712,594.9920529801325,0.0,4.0,29079165.0,0.9967300953181946,19.0,25.0,31.0,#1629 (100 cores),100,10485760.0,10.0,41.06366910654119,166.66666666666666,24.638201463924712,3547901.010805159,100.00169765355984,0.0,24.638201463924712,1.0,,,,,,,,,6.0,14.2264795445,171.7895610148,3.528392744171627e-06,,,,,1.9563556962718585,,14.2264795445,,,,6.902791243744456e-06,,27.83205429477765,0.0,336.08148625134595,336.08148625134595,42.032008279381515,25.21920496762891,3631565.515338563,5.367501566711381e-06,99.99936854122893,25.21920496762891,42.84890959082456,25.709345754494738,114825932.27547371,2195.3820771141463
