timestamp_ms,date,near_usd
1763532165429,2025-11-19T06:02:45.429Z,2.199613
1763535642439,2025-11-19T07:00:42.439Z,2.219011
1763539358645,2025-11-19T08:02:38.645Z,2.241766
1763542888607,2025-11-19T09:01:28.607Z,2.234682
1763546479710,2025-11-19T10:01:19.710Z,2.268564
1763550037604,2025-11-19T11:00:37.604Z,2.285093
1763553672323,2025-11-19T12:01:12.323Z,2.295864
1763557322411,2025-11-19T13:02:02.411Z,2.291122
1763561010976,2025-11-19T14:03:30.976Z,2.267114
1763564513322,2025-11-19T15:01:53.322Z,2.258849
1763568061743,2025-11-19T16:01:01.743Z,2.229973
1763571748907,2025-11-19T17:02:28.907Z,2.200390
1763575269943,2025-11-19T18:01:09.943Z,2.242689
1763578899273,2025-11-19T19:01:39.273Z,2.166438
1763582466167,2025-11-19T20:01:06.167Z,2.199730
1763586198744,2025-11-19T21:03:18.744Z,2.211219
1763589750428,2025-11-19T22:02:30.428Z,2.305523
1763593276304,2025-11-19T23:01:16.304Z,2.329728
1763596835126,2025-11-20T00:00:35.126Z,2.369001
1763600549403,2025-11-20T01:02:29.403Z,2.342225
1763604095567,2025-11-20T02:01:35.567Z,2.365718
1763607683722,2025-11-20T03:01:23.722Z,2.398529
1763611271491,2025-11-20T04:01:11.491Z,2.362591
1763614895105,2025-11-20T05:01:35.105Z,2.376509
1763618407154,2025-11-20T06:00:07.154Z,2.376054
1763622142150,2025-11-20T07:02:22.150Z,2.361601
1763625671044,2025-11-20T08:01:11.044Z,2.385576
1763629408654,2025-11-20T09:03:28.654Z,2.375014
1763632868204,2025-11-20T10:01:08.204Z,2.362556
1763636515985,2025-11-20T11:01:55.985Z,2.347513
1763640129176,2025-11-20T12:02:09.176Z,2.345231
1763643658442,2025-11-20T13:00:58.442Z,2.355281
1763647496057,2025-11-20T14:04:56.057Z,2.320512
1763650880048,2025-11-20T15:01:20.048Z,2.310418
1763654482169,2025-11-20T16:01:22.169Z,2.273213
1763658093916,2025-11-20T17:01:33.916Z,2.155160
1763661974822,2025-11-20T18:06:14.822Z,2.140374
1763665217402,2025-11-20T19:00:17.402Z,2.111041
1763668874997,2025-11-20T20:01:14.997Z,2.116457
1763672504746,2025-11-20T21:01:44.746Z,2.096887
1763676107534,2025-11-20T22:01:47.534Z,2.133447
1763680057658,2025-11-20T23:07:37.658Z,2.149190
1763683339214,2025-11-21T00:02:19.214Z,2.072842
1763686908269,2025-11-21T01:01:48.269Z,2.058656
1763690501464,2025-11-21T02:01:41.464Z,2.072158
1763694099130,2025-11-21T03:01:39.130Z,2.051961
1763697694879,2025-11-21T04:01:34.879Z,2.064085
1763701379771,2025-11-21T05:02:59.771Z,2.043690
1763704959897,2025-11-21T06:02:39.897Z,2.034895
1763708483234,2025-11-21T07:01:23.234Z,2.022429
1763712100557,2025-11-21T08:01:40.557Z,1.950987
1763715693614,2025-11-21T09:01:33.614Z,1.958846
1763719328639,2025-11-21T10:02:08.639Z,1.937407
1763722859721,2025-11-21T11:00:59.721Z,1.923222
1763726618848,2025-11-21T12:03:38.848Z,1.897600
1763730135790,2025-11-21T13:02:15.790Z,1.927193
1763733683082,2025-11-21T14:01:23.082Z,1.931384
1763737408907,2025-11-21T15:03:28.907Z,1.918710
1763740871292,2025-11-21T16:01:11.292Z,1.889260
1763744659262,2025-11-21T17:04:19.262Z,1.910893
1763748242619,2025-11-21T18:04:02.619Z,1.898604
1763751746118,2025-11-21T19:02:26.118Z,1.894509
1763755430199,2025-11-21T20:03:50.199Z,1.868490
1763759017720,2025-11-21T21:03:37.720Z,1.844832
1763762457560,2025-11-21T22:00:57.560Z,1.882769
1763766231179,2025-11-21T23:03:51.179Z,1.831216
1763770169471,2025-11-22T00:09:29.471Z,1.864256
1763773272273,2025-11-22T01:01:12.273Z,1.855899
1763776814987,2025-11-22T02:00:14.987Z,1.894239
1763780488669,2025-11-22T03:01:28.669Z,1.879393
1763784044134,2025-11-22T04:00:44.134Z,1.881924
1763787788744,2025-11-22T05:03:08.744Z,1.868933
1763791321163,2025-11-22T06:02:01.163Z,1.846366
1763794873701,2025-11-22T07:01:13.701Z,1.854689
1763798463650,2025-11-22T08:01:03.650Z,1.847919
1763802160686,2025-11-22T09:02:40.686Z,1.815810
1763805752806,2025-11-22T10:02:32.806Z,1.844909
1763809308153,2025-11-22T11:01:48.153Z,1.823878
1763813041325,2025-11-22T12:04:01.325Z,1.837893
1763816539950,2025-11-22T13:02:19.950Z,1.818860
1763820126144,2025-11-22T14:02:06.144Z,1.816870
1763824015670,2025-11-22T15:06:55.670Z,1.822266
1763827267912,2025-11-22T16:01:07.912Z,1.810924
1763830963736,2025-11-22T17:02:43.736Z,1.825850
1763834480824,2025-11-22T18:01:20.824Z,1.810703
1763838116061,2025-11-22T19:01:56.061Z,1.815417
1763841717334,2025-11-22T20:01:57.334Z,1.810424
1763845394540,2025-11-22T21:03:14.540Z,1.806539
1763848922493,2025-11-22T22:02:02.493Z,1.817975
1763852449403,2025-11-22T23:00:49.403Z,1.852354
1763856380269,2025-11-23T00:06:20.269Z,1.841687
1763859676496,2025-11-23T01:01:16.496Z,1.848241
1763863296316,2025-11-23T02:01:36.316Z,1.880713
1763866889522,2025-11-23T03:01:29.522Z,1.901237
1763870507050,2025-11-23T04:01:47.050Z,1.897219
1763874139428,2025-11-23T05:02:19.428Z,1.885481
1763877712043,2025-11-23T06:01:52.043Z,1.882064
1763881241289,2025-11-23T07:00:41.289Z,1.869951
1763884924211,2025-11-23T08:02:04.211Z,1.855647
1763888544773,2025-11-23T09:02:24.773Z,1.867263
1763892101373,2025-11-23T10:01:41.373Z,1.873589
1763895729544,2025-11-23T11:02:09.544Z,1.859742
1763899267154,2025-11-23T12:01:07.154Z,1.847509
1763902901226,2025-11-23T13:01:41.226Z,1.860604
1763906543196,2025-11-23T14:02:23.196Z,1.860695
1763910057723,2025-11-23T15:00:57.723Z,1.846891
1763913678376,2025-11-23T16:01:18.376Z,1.860158
1763917305413,2025-11-23T17:01:45.413Z,1.853614
1763921199381,2025-11-23T18:06:39.381Z,1.825236
1763924510348,2025-11-23T19:01:50.348Z,1.832027
1763928149168,2025-11-23T20:02:29.168Z,1.849962
1763931828659,2025-11-23T21:03:48.659Z,1.855152
1763935306243,2025-11-23T22:01:46.243Z,1.856760
1763938883072,2025-11-23T23:01:23.072Z,1.851368
1763942456092,2025-11-24T00:00:56.092Z,1.821510
1763946122078,2025-11-24T01:02:02.078Z,1.827674
1763949637869,2025-11-24T02:00:37.869Z,1.824352
1763953383511,2025-11-24T03:03:03.511Z,1.860993
1763956832861,2025-11-24T04:00:32.861Z,1.869778
1763960463320,2025-11-24T05:01:03.320Z,1.849036
1763964024314,2025-11-24T06:00:24.314Z,1.870432
1763967710470,2025-11-24T07:01:50.470Z,1.850386
1763971266880,2025-11-24T08:01:06.880Z,1.851909
1763974872904,2025-11-24T09:01:12.904Z,1.851811
1763978539677,2025-11-24T10:02:19.677Z,1.832504
1763982106085,2025-11-24T11:01:46.085Z,1.841832
1763985629984,2025-11-24T12:00:29.984Z,1.865435
1763989307467,2025-11-24T13:01:47.467Z,1.848650
1763992926519,2025-11-24T14:02:06.519Z,1.931342
1763996430205,2025-11-24T15:00:30.205Z,1.889937
1764000101368,2025-11-24T16:01:41.368Z,1.930429
1764003727035,2025-11-24T17:02:07.035Z,1.933631
1764007295658,2025-11-24T18:01:35.658Z,1.971785
1764010919997,2025-11-24T19:01:59.997Z,1.957601
1764014464433,2025-11-24T20:01:04.433Z,1.953043
1764018066338,2025-11-24T21:01:06.338Z,1.963098
1764021620671,2025-11-24T22:00:20.671Z,1.929762
1764025273840,2025-11-24T23:01:13.840Z,1.939574
1764028822585,2025-11-25T00:00:22.585Z,1.906616
1764032497012,2025-11-25T01:01:37.012Z,1.924969
1764036271689,2025-11-25T02:04:31.689Z,1.922557
1764039742678,2025-11-25T03:02:22.678Z,1.919623
1764043324607,2025-11-25T04:02:04.607Z,1.910812
