ct_block,timestamp,who,old_core,core,begin,price,duration,workload
2110669,1751328030,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,62,62,337965,97892120238,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
2114162,1751372136,0xb410e4f5f74481cba0c01b3d44a12cffbee69eb208d36978d51879f6bebd3c12,47,63,337965,95040893435,5040,[{"assignment":{"Task":3338},"mask":"0xffffffffffffffffffff"}]
2115508,1751389122,0x24d6d7cd9a0500be768efc7b5508e7861cbde7cfc06819e4dfd9120b97d46d3e,64,64,337965,7755907789,5040,[{"assignment":{"Task":2101},"mask":"0xffffffffffffffffffff"}]
2279944,1753471950,0x7369626c290d0000000000000000000000000000000000000000000000000000,42,42,343005,950391962108,5040,[{"assignment":{"Task":3369},"mask":"0xffffffffffffffffffff"}]
2279944,1753471950,0x7369626cd0070000000000000000000000000000000000000000000000000000,43,43,343005,11143610394,5040,[{"assignment":{"Task":2000},"mask":"0xffffffffffffffffffff"}]
2280445,1753478460,0x40c4301003d5d109819d51372edf6d0477ce8e3c13f98f951b7926003e5e632f,44,44,343005,97892120238,5040,[{"assignment":{"Task":2004},"mask":"0xffffffffffffffffffff"}]
2283270,1753515072,0xce44b6b392394133943e063102b113e0577108fb9cb3000fe04faec3a3ad3934,65,45,343005,5438766930920,5040,[{"assignment":{"Task":3409},"mask":"0xffffffffffffffffffff"}]
2286581,1753558212,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,47,46,343005,17673317369,5040,[{"assignment":{"Task":3403},"mask":"0xffffffffffffffffffff"}]
2286581,1753558212,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,48,47,343005,17671658064,5040,[{"assignment":{"Task":3404},"mask":"0xffffffffffffffffffff"}]
2286581,1753558212,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,49,48,343005,17670330600,5040,[{"assignment":{"Task":3405},"mask":"0xffffffffffffffffffff"}]
2286581,1753558212,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,50,49,343005,17668339456,5040,[{"assignment":{"Task":3406},"mask":"0xffffffffffffffffffff"}]
2286581,1753558212,0x6812a4741a7552fdaf6e47d4de51a70f1de7dcc1b5144ce53b7f6dcea8a29b46,51,50,343005,17667011990,5040,[{"assignment":{"Task":3407},"mask":"0xffffffffffffffffffff"}]
2296094,1753681872,0x4e5d80a091a712b727ecbb00882bb28d4d64a6e7f6c87654b3243c489623f510,53,51,343005,18042989200,5040,[{"assignment":{"Task":2094},"mask":"0xffffffffffffffffffff"}]
2297166,1753695864,0xd869cbcab73137f8ba09a3c9a6891d05db2d5f033cead30587bc4bbe033b002b,45,52,343005,978903720971,5040,[{"assignment":{"Task":3415},"mask":"0xffffffffffffffffffff"}]
2297831,1753704612,0x0ceb137a94d9b032da6c8257508a07e185411406a58ac8e08505ba9058293d54,46,53,343005,950391962108,5040,[{"assignment":{"Task":3413},"mask":"0xffffffffffffffffffff"}]
2303618,1753779960,0xea05f87e141ce5a6f38702929411405799a18e69128fafd24e849444072e5d6d,52,54,343005,18042989200,5040,[{"assignment":{"Task":2056},"mask":"0xffffffffffffffffffff"}]
2304795,1753795362,0x24d6d7cd9a0500be768efc7b5508e7861cbde7cfc06819e4dfd9120b97d46d3e,64,55,343005,7988585023,5040,[{"assignment":{"Task":2101},"mask":"0xffffffffffffffffffff"}]
2310502,1753869546,0x10363c26b96bfbaa6785901340d7a4c8225a99171f139cb14fc9dac9d0e77139,63,56,343005,97892120238,5040,[{"assignment":{"Task":3338},"mask":"0xffffffffffffffffffff"}]
2323734,1754048466,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,54,57,343005,100828883845,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
2323734,1754048466,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,55,58,343005,100828883845,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
2323734,1754048466,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,56,59,343005,100828883845,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
2323734,1754048466,0xf0fa761c48cad39cb8b402299c93ca92af0f4755b9636c77f5c2e97d3e791a54,57,60,343005,100828883845,5040,[{"assignment":{"Task":3420},"mask":"0xffffffffffffffffffff"}]
