_day,block_count,blocks_with_data,total_encoded_bytes,total_gas_used,total_gas_limit,total_chunks_produced,total_da_cost_near,avg_block_time_ms,p10_block_time_ms,p50_block_time_ms,p90_block_time_ms,p50_encoded_bytes,p90_encoded_bytes,p99_encoded_bytes,p10_cost_per_byte_near,p50_cost_per_byte_near,p90_cost_per_byte_near,daily_data_mib,actual_mib_per_s,max_mib_per_s,utilization_pct,avg_cost_per_mib_near,cost_per_mib_near_p10,cost_per_mib_near_p50,cost_per_mib_near_p90,avg_near_usd,cost_per_mib_usd,cost_per_mib_usd_p10,cost_per_mib_usd_p50,cost_per_mib_usd_p90,daily_da_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_data_mib_7d,cost_per_mib_usd_7d,cumulative_daily_data_mib,cumulative_daily_da_spend_usd
2026-01-03,141073,141073,9192662927.0,2.735644812809337e+19,1.269657e+21,1265377,2735.644812809337,612.4465985695349,485.0,605.0,710.0,30233.0,174670.0,384578.95999999996,1.4702045072359287e-07,3.0414815324136114e-07,5.531270972392295e-07,8766.806532859802,0.10271695725271364,59.01639344262295,0.1726215531608104,0.3120457606262412,0.15416211613794212,0.3189224539332135,0.5799957991147223,1.6923708333333334,0.5280971439491656,0.2608994689567992,0.5397350591316642,0.9815679738776152,4629.725491558149,0.10471925244874296,0.17594542244264177,8892.77263368879,0.4940213328847789,518374.1975851059,322105.5733072355
2026-01-04,140414,140414,9163623192.0,2.771003096808257e+19,1.263726e+21,1259311,2771.0030968082574,615.3270186733516,478.0,606.0,723.0,30836.0,171360.3,381816.44999999984,1.5141032705658254e-07,3.0987010378679944e-07,5.660061091362817e-07,8739.112083435059,0.10270327058107728,59.01639344262295,0.17288383881148006,0.3170806221905174,0.1587652351036831,0.324922353948347,0.5935004218936857,1.717926375,0.5447211638625001,0.27274698481769305,0.5581926816749507,1.01959002834479,4760.379305213583,0.10479395641494411,0.1761522696292531,8887.06754221235,0.5006609378812023,527113.309668541,326865.95261244907
2026-01-05,141885,141885,9525662673.0,2.8783682386877805e+19,1.276965e+21,1274019,2878.3682386877804,608.9408605560842,488.0,605.0,708.0,31513.0,176553.2,348753.80000000005,1.5561440721057387e-07,3.130811448246106e-07,5.529921413694311e-07,9084.379837989807,0.10582869129538684,59.01639344262295,0.17785099509363622,0.31684807218768896,0.1631735326552347,0.3282893745156109,0.5798542876285926,1.7506615833333334,0.5546937477322139,0.2856616350363066,0.5747235961810091,1.015128625282494,5039.048698157528,0.10508504802578812,0.1766826521776435,8907.925583566937,0.5104948295227189,536197.6895065308,331905.0013106066
2026-01-06,140883,140883,9574104625.0,2.908346910565615e+19,1.267947e+21,1263630,2908.3469105656145,613.2758672089607,483.0,605.0,715.0,31660.0,179138.8,361947.89999999927,1.5862392753933386e-07,3.1510511666507014e-07,5.539474477738174e-07,9130.577683448792,0.1071233856432982,59.01639344262295,0.180026800872765,0.3185282477622026,0.16632924344348454,0.3304116628121926,0.5808559989968783,1.781912375,0.5675894264745349,0.2963841372163327,0.5887646308093734,1.035034492705525,5182.419350729887,0.10448206934840443,0.17566931301148483,8912.038498061043,0.5241561197052438,545328.2671899796,337087.4206613365
2026-01-07,141143,141143,9409315708.0,2.803135378319095e+19,1.270287e+21,1266253,2803.1353783190953,612.1444988416004,484.0,605.0,715.0,30882.0,175209.00000000006,359752.63999999734,1.5449576332299714e-07,3.050338053203753e-07,5.339773950166085e-07,8973.42272567749,0.10508564844736026,59.01639344262295,0.1766022703073693,0.31238195992905926,0.16200054952217505,0.31985112744761784,0.5599158809569352,1.7532366666666668,0.5476795061528241,0.28402530344242644,0.5607747245158368,0.9816650527426674,4914.559726899576,0.10429506634785331,0.1753550440800031,8898.920645713806,0.5350765391917652,554301.689915657,342001.98038823606
2026-01-08,140952,140952,9641329266.0,2.9037008390695084e+19,1.268568e+21,1263402,2903.700839069508,612.975438447131,486.0,605.0,711.0,32184.5,180075.80000000002,367415.4399999995,1.6044415096839518e-07,3.1017357014643417e-07,5.458758954171429e-07,9194.688097000122,0.10782274508548625,59.01639344262295,0.1812021132686644,0.3158019944164148,0.16823788604583595,0.32524056148986735,0.5723923629129261,1.6966765833333335,0.5358138488962951,0.28544528168347166,0.5518280446300431,0.9711647186331969,4926.641218654587,0.10506948309321126,0.17661585879775027,8966.151295525688,0.5425608594411079,563496.3780126572,346928.62160689064
2026-01-09,141693,141693,9343766320.0,2.794753396634372e+19,1.275237e+21,1271990,2794.753396634372,609.7700450974995,485.0,605.0,713.0,30430.0,175547.40000000002,362192.24,1.5340370992888994e-07,3.0772498493020574e-07,5.453096641762024e-07,8910.909957885742,0.10394851396959474,59.01639344262295,0.17469125264334673,0.3136327726172505,0.1608554485423957,0.3226730337981754,0.5717986264232257,1.694065375,0.5313144205561322,0.2724996457557668,0.5466292140036937,0.9686642544961467,4734.494960901931,0.10503274461070247,0.17655411773686744,8971.413845470974,0.5442727510890951,572407.2879705429,351663.11656779255
2026-01-10,141628,141628,9203317964.0,2.7476480758884356e+19,1.274652e+21,1271185,2747.648075888436,610.0475965204621,488.0,605.0,708.0,29567.0,170584.5,358147.36000000034,1.5158335946160722e-07,3.0419598319231017e-07,5.371298143464837e-07,8776.96796798706,0.10243302928130732,59.01639344262295,0.1721443964310859,0.31305207970567434,0.15894667273081425,0.31897260727185983,0.5632214322081784,1.6990608333333332,0.531894527421456,0.2700600662255779,0.5419538639218322,0.9569474759588211,4668.421229525736,0.10499218347193014,0.17648595248976393,8972.865479060581,0.5448152344422795,581184.25593853,356331.5377973183
2026-01-11,142978,142978,8844289513.0,2.6531534842496877e+19,1.286802e+21,1284870,2653.1534842496876,604.2868203499839,490.0,604.0,702.0,27015.5,164870.60000000003,353541.06000000023,1.4949260695234313e-07,3.044405269641427e-07,5.475742591252462e-07,8434.57175540924,0.09766903141641622,59.01639344262295,0.16386693048754278,0.3145569877389653,0.15675435982766014,0.3192290300019529,0.5741732263365141,1.6989543333333332,0.5344179573993952,0.2663184988980958,0.5423555438476145,0.9754940909684015,4507.586609064439,0.10427300644840712,0.17519782272920148,8929.359717914036,0.5433433478046931,589618.8276939392,360839.12440638273
2026-01-12,143176,143176,9287570393.0,2.806401465841526e+19,1.288584e+21,1286528,2806.4014658415263,603.4572833435772,491.0,604.0,700.0,28801.0,166871.0,332580.75,1.5968562337160855e-07,3.1197225136106025e-07,5.525822202320757e-07,8857.317345619202,0.10242242199406687,59.01639344262295,0.1718420635678233,0.3168455364455879,0.1674425122125078,0.3271266154431751,0.579424454162069,1.6998326666666665,0.5385843931377341,0.28462425204755304,0.5560605070664135,0.9849246150501875,4770.412887418644,0.10378639654821854,0.17433940393979963,8896.922219003949,0.5410420114340531,598476.1450395584,365609.5372938014
2026-01-13,142023,142023,7569510898.0,2.259226471903387e+19,1.278207e+21,1274014,2259.226471903387,608.351865542905,488.0,604.0,704.0,22600.0,146222.6,330522.81999999995,1.538008795308465e-07,3.14552596074433e-07,5.603379416398527e-07,7218.84813117981,0.08415351961670198,59.01639344262295,0.14119090513468885,0.31296218328036096,0.1612719110549369,0.32983230298134464,0.5875569174929501,1.7702134166666665,0.5540098557521873,0.2854857006809226,0.5838735679876412,1.04010113840133,3999.3130118518734,0.10050498711584767,0.1687914188343602,8623.817997251239,0.539102072759432,605694.9931707382,369608.85030565324
2026-01-14,141828,141828,11046342864.0,3.3545927656089293e+19,1.276452e+21,1272139,3354.5927656089293,609.1859223848605,485.0,604.0,709.0,43415.0,189513.0,365321.67000000086,1.570512863921549e-07,3.10298178819483e-07,5.48818476431677e-07,10534.613479614258,0.1229758090484176,59.01639344262295,0.2063260796256784,0.3184352963780275,0.1646802096799402,0.3253712231538182,0.5754778827428222,1.8360852083333334,0.5846743374909373,0.30236689709857006,0.5974092900500498,1.0566264282270803,6159.3181569165645,0.10306072434457014,0.17303767730840433,8846.845247813633,0.5443870486648767,616229.6066503525,375768.1684625698
2026-01-15,142805,142805,9681230855.0,2.949406341089952e+19,1.285245e+21,1282379,2949.406341089952,605.0227443016701,487.0,603.0,702.0,35353.0,172635.00000000003,386118.11999999965,1.562847860863704e-07,3.1374733714528996e-07,5.577252623656422e-07,9232.74121761322,0.10721855189132846,59.01639344262295,0.17959107441797517,0.31945077540605116,0.16387647585530193,0.32898792779445957,0.5848173247103157,1.7627572083333334,0.5631141570546894,0.28887443909019694,0.5799258411743298,1.0308909546913245,5199.087288060356,0.10297441103111903,0.17280752890116302,8852.281407901219,0.5482870926875044,625462.3478679657,380967.25575063017
2026-01-16,142952,142952,9146898851.0,2.6948828071186567e+19,1.286568e+21,1284032,2694.882807118657,604.3972032570373,487.0,603.0,705.0,29357.5,170156.60000000003,385482.49999999953,1.4348850256537786e-07,2.990498222800797e-07,5.52357682978e-07,8723.162508964539,0.10119671510381083,59.01639344262295,0.16950449779888313,0.3089341513870921,0.15045860006599365,0.31357646644715687,0.5791890097863394,1.72028425,0.5314545549183303,0.25883155997057783,0.5394406563996974,0.9963697313085355,4635.964448682013,0.10258129690743563,0.17206656392338252,8825.460343769619,0.5483071118821042,634185.5103769302,385603.2201993122
2026-01-17,143055,143055,9006589567.0,2.6826879748815143e+19,1.287495e+21,1284872,2682.6879748815136,603.965698507567,487.0,603.0,702.0,29145.0,168950.0,384901.1199999994,1.4434928802281335e-07,3.0258217263631327e-07,5.779959291125839e-07,8589.353148460388,0.0995726590963766,59.01639344262295,0.1667842039864308,0.312327125048104,0.15136119903780954,0.3172804042542948,0.6060726593651568,1.7646861666666667,0.5511593570471593,0.26710501411210247,0.5599003403419619,1.0695280379765708,4734.102358756421,0.10217267259530265,0.17130082214557465,8798.658226694379,0.5510592304000619,642774.8635253906,390337.3225580686
2026-01-18,142960,142960,8949377714.0,2.7560833399223587e+19,1.28664e+21,1284106,2756.0833399223584,604.3628707330722,487.0,603.0,705.0,27383.5,170235.1,385709.8300000002,1.4947804870322547e-07,3.1251254182230397e-07,5.925372236111065e-07,8534.791673660278,0.09900589936045708,59.01639344262295,0.1658348814287656,0.3229233290401298,0.15673909439703335,0.3276931510538642,0.6213203117852396,1.719894375,0.5553940171723935,0.2695746867960517,0.5635976072235663,1.0686053093126797,4740.172233363677,0.10236365373016564,0.17158195799432074,8812.9753578731,0.5540558103676331,651309.6551990509,395077.4947914323
2026-01-19,142243,142243,9348295072.0,2.8720658127014994e+19,1.280187e+21,1276541,2872.065812701499,607.4114930084432,485.0,604.0,708.0,29991.0,176268.0,377329.43999999977,1.5309900551451225e-07,3.180717191986668e-07,5.870465909055075e-07,8915.228912353516,0.10376828925709675,59.01639344262295,0.17410012975357342,0.32215278384179,0.1605359428063852,0.33352237103046123,0.6155629661053335,1.577397125,0.508162875042786,0.25322893464195645,0.5260972291866328,0.9709872529910255,4530.388355766133,0.10255592048202704,0.17190453887799934,8821.248438835144,0.5497098792112118,660224.8841114044,399607.8831471984
2026-01-20,134231,134231,9531691529.0,2.887769773497712e+19,1.208079e+21,1187999,2887.769773497712,643.666895128547,482.0,606.0,744.0,33452.0,187068.0,406793.90000000125,1.5294059257961072e-07,3.1485172187212734e-07,5.832643210975153e-07,9090.129403114319,0.11174924970008623,59.01639344262295,0.18811123699514515,0.3176819212835792,0.1603698348047579,0.3301459591137878,0.6115969687591482,1.5496325000000002,0.4922902298834761,0.248514308033084,0.5116049079863968,0.9477505396906608,4474.9818935296935,0.10649816763679622,0.17860744342949308,9088.574334825787,0.540892789801396,669315.0135145187,404082.8650407281
2026-01-21,129258,129258,9457278167.0,2.854430998544482e+19,1.163322e+21,1132249,2854.4309985444816,668.4329016385833,412.0,605.0,1021.0,32523.0,198638.10000000003,395757.00999999995,1.4248269405411884e-07,3.139003617622693e-07,5.82056996496391e-07,9019.163290977478,0.115332961356133,59.01639344262295,0.1938234489457235,0.3164851224503248,0.1494039334004917,0.3291483857352333,0.6103309971581997,1.5318368333333332,0.4848035677714177,0.22886244822775342,0.5042016209014383,0.9349275019719923,4372.522541778882,0.10540633225218413,0.17682135333235668,8872.08145073482,0.5266255369843218,678334.1768054962,408455.387582507
2026-01-22,143195,143195,9162432830.0,2.6979724341319025e+19,1.288755e+21,1286029,2697.9724341319024,603.3714375501938,484.0,602.0,704.0,29481.0,173053.0,395254.31999999983,1.3883137424674894e-07,3.0102348920392623e-07,5.747991742173931e-07,8737.976865768433,0.1013646547516105,59.01639344262295,0.16950422822352643,0.3087639708341844,0.14557524708215902,0.31564600621549616,0.6027206189041772,1.5328970416666667,0.4733033774649742,0.22315186559213562,0.48385282914163236,0.9239086536697156,4135.713962779009,0.10457006123222443,0.1753803753045783,8801.400829042706,0.5137954256143624,687072.1536712646,412591.101545286
2026-01-23,140802,140802,9080712262.0,2.6845619104253436e+19,1.267218e+21,1261642,2684.5619104253433,613.6259002002812,474.0,604.0,722.0,28326.5,175516.80000000002,388241.95999999996,1.368278191794426e-07,3.038003172457728e-07,5.722972525466888e-07,8660.042058944702,0.10182964715263469,59.01639344262295,0.17084751911164264,0.30999409612018436,0.1434743673239032,0.31855772145630346,0.6000971638863968,1.5181204583333334,0.4706083792826017,0.21781137228084896,0.4836089941028658,0.9110197814837502,4075.4883578791314,0.10466048009634212,0.17557223549211537,8792.383621897015,0.5051031148092584,695732.1957302094,416666.5899031651
2026-01-24,143030,143030,9025510621.0,2.6639498719698993e+19,1.28727e+21,1285051,2663.949871969899,604.0717052366637,484.0,603.0,706.0,28215.0,171483.0,381093.66999999934,1.4107203749469732e-07,3.008548846333569e-07,5.509832848048404e-07,8607.397671699524,0.09979928217519599,59.01639344262295,0.16716379764345327,0.3094953868262374,0.14792475278803974,0.31546921150930685,0.5777478488475203,1.505101,0.46582181620755675,0.2226416933460314,0.47481302571186923,0.8695688650482516,4009.513616251767,0.10469285482188774,0.1756264631574043,8794.961410931179,0.49291203754645796,704339.5934019089,420676.1035194169
