_day,block_count,total_blobs,blocks_with_blobs,at_floor_count,era,target_blobs,max_blobs,p10_blob_base_fee_gwei,p50_blob_base_fee_gwei,p90_blob_base_fee_gwei,vwap_blob_base_fee_gwei,daily_data_mib,actual_mib_per_s,max_mib_per_s,expected_mib_per_s,utilization_pct,target_utilization_pct,pct_time_at_floor,avg_eth_usd,vwap_cost_per_mib_day_usd,p10_cost_per_mib_day_usd,p50_cost_per_mib_day_usd,p90_cost_per_mib_day_usd,daily_blob_spend_usd,actual_mib_per_s_7d,utilization_pct_7d,daily_data_mib_7d,vwap_cost_per_mib_day_usd_7d,actual_mib_per_s_30d,utilization_pct_30d,cumulative_daily_data_mib,cumulative_daily_blob_spend_usd
2025-11-28,7130,36164,6421,3048,Pectra,6,9,1e-09,1.0265195558258924e-09,1.5201121762917003e-09,1.2156082313984314e-09,4520.5,0.05283426834969612,0.09375,0.0625,56.35655290634253,84.5348293595138,42.74894810659187,3015.61,2.1354834755219466e-10,1.756720150755556e-10,1.8033075888639878e-10,2.6704116915005117e-10,1.737621549197453e-05,0.056411657682039804,60.17243486084245,4816.5,1.072993779046647e-09,0.05699674786434695,60.796531055303404,1783430.0,24278.052320620605
2025-11-29,7159,31713,6347,4893,Pectra,6,9,1e-09,1e-09,1.0816871788559317e-09,1.02340094238967e-09,3964.125,0.046143839921776786,0.09375,0.0625,49.22009591656191,73.83014387484286,68.34753457186757,3033.14,1.8082799925620043e-10,1.7669321159111114e-10,1.7669321159111114e-10,1.9112678156898318e-10,1.2902846265926741e-05,0.05519034895861125,58.869705555852,4717.017857142857,1.0728911247948277e-09,0.05658695968131037,60.3594236600644,1787394.125,24278.05233352345
2025-11-30,7159,32773,6431,4598,Pectra,6,9,1e-09,1e-09,1.0816871788559317e-09,1.0290739016436489e-09,4096.625,0.04768618754947152,0.09375,0.0625,50.8652667194363,76.29790007915443,64.2268473250454,2991.23,1.793179561675126e-10,1.7425177713777782e-10,1.7425177713777782e-10,1.8848591322279538e-10,1.3222771599325252e-05,0.054362797233468874,57.98698371570013,4649.5,1.07327379358531e-09,0.056387122768051724,60.146264285921845,1791490.75,24278.052346746223
2025-12-01,7146,37249,6277,2604,Pectra,6,9,1e-09,1.0537423984929872e-09,1.732653716986155e-09,1.919592192356514e-09,4656.125,0.054297567403675716,0.09375,0.0625,57.91740523058743,86.87610784588115,36.439966414777494,2992.83,3.346712698581648e-10,1.7434498389333335e-10,1.837147014929823e-10,3.0207948438067533e-10,2.8048882794630264e-05,0.05358917301986576,57.16178455452348,4587.357142857143,3.2573173647068075e-10,0.05638836000948186,60.14758401011398,1796146.875,24278.052374795105
2025-12-02,7144,40813,6539,1428,Pectra,6,9,1e-09,1.2010762836915968e-09,0.001882389550611951,0.0006403261595229029,5101.625,0.059509436823441585,0.09375,0.0625,63.47673261167102,95.21509891750654,19.988801791713325,2799.04,0.00010440895706204216,1.630558981688889e-10,1.9584257220668447e-10,0.0003069347188787628,9.587796220289533,0.0537711924198199,57.35593858114124,4607.553571428572,1.4915818838745588e-05,0.056593942996952265,60.36687253008242,1801248.5,24287.640171015395
2025-12-03,7093,41662,6364,64,Pectra,6,9,1.8257706834947807e-09,7.918501021674358e-07,0.06279397413183135,0.014300847120364897,5207.75,0.0611841486911979,0.09375,0.0625,65.26309193727776,97.89463790591664,0.9022980403214438,2995.75,0.0024957135682612984,3.1862452825209726e-10,1.3818978885482554e-07,0.010958495809852541,233.94694203203,0.05426541401979941,57.883108287786044,4646.75,0.00037144627237381734,0.056752971231235266,60.53650264665096,1806456.25,24521.587113047426
2025-12-04,6765,38217,5890,0,Pectra,6,9,0.001882374138864232,0.0038160607142431356,0.16683657975207355,2.3040136012876222,4777.125,0.05884608277900961,0.09375,0.0625,62.76915496427692,94.15373244641538,0.0,3195.41,0.4288832020554555,0.0003503966503024521,0.0007103449117869653,0.03105598270082316,36878.915999145014,0.05435736164546704,57.981185755164844,4617.696428571428,0.06164047506987778,0.05684367282536034,60.6332510137177,1811233.375,61400.50311219244
2025-12-05,7071,36514,6286,0,Pectra,6,9,0.0013276872831673348,0.0017554305696204531,0.005315811833153051,0.0030671873807661993,4564.25,0.053790717955970395,0.09375,0.0625,57.376765819701745,86.06514872955263,0.0,3133.7,0.0005599189092914976,0.0002423709813534579,0.0003204560556170857,0.0009704081277467852,46.000977871206935,0.054493997303506216,58.1269304570733,4623.946428571428,0.06172046345498394,0.056902822652028395,60.69634416216362,1815797.625,61446.504090063645
2025-12-06,7111,34660,6394,0,Pectra,6,9,0.0013046744247003144,0.0015533338862707149,0.0022409648909087554,0.0017356734886654552,4332.5,0.05077227769183893,0.09375,0.0625,54.157096204628196,81.23564430694229,0.0,3022.66,0.0003056220869463332,0.00022973060490138762,0.000273515236100963,0.00039459516505008127,23.833938450509795,0.05515520269922937,58.83221621251134,4676.571428571428,0.061764123727286555,0.05686106302761381,60.65180056278806,1820130.125,61470.338028514154
2025-12-07,7135,35038,6335,0,Pectra,6,9,0.007534239655927038,0.021652052452032024,0.03456198853868549,0.03498160735118829,4379.75,0.05115335202055594,0.09375,0.0625,54.56357548859301,81.8453632328895,0.0,3039.36,0.0061936878292628735,0.00133397896760967,0.003833616117303902,0.00611939198842753,488.28247686385316,0.0556505119093843,59.36054603667659,4717.017857142857,0.06264893624870725,0.056651862736640496,60.42865358574987,1824509.875,61958.62050537801
